,origin,output_max,desired_pos_step_I,desired_pos_ctrl_I,ee_position_I,raw_action,substeps,timestep,goal_noise,is_success
0,[0.61011829 0.12516428 0.1894773 ],0.03,[0.02965701 0.01200759 0.        ],[0.02824675 0.0114366  0.        ],[ 0.00998526  0.00447023 -0.00045905],[ 0.9885671   0.40025306 -0.5393095 ],10.0,0.01,0.013247898025211893,False
1,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.01189142  0.        ],[ 0.04896558 -0.01078211  0.        ],[ 0.0256539  -0.00310136 -0.0025267 ],[ 0.7493737  -0.7966336  -0.44668257],10.0,0.01,0.013247898025211893,False
2,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.01733772 0.        ],[0.04995081 0.01600055 0.        ],[ 0.03663838  0.00159598 -0.00252448],[ 0.9921696   0.97430444 -0.9778108 ],10.0,0.01,0.013247898025211893,False
3,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.01226235  0.        ],[ 0.04999766 -0.01091838  0.        ],[ 0.042267   -0.00164094 -0.00096997],[ 0.8413435  -0.98666894 -0.67810553],10.0,0.01,0.013247898025211893,False
4,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05      0.0168369 0.       ],[0.04999989 0.01551707 0.        ],[ 0.04501115  0.00359185 -0.00017045],[ 0.99155927  0.9699751  -0.97795707],10.0,0.01,0.013247898025211893,False
5,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.01275534  0.        ],[ 0.04999999 -0.01141091  0.        ],[ 0.04540399 -0.00109562 -0.00020423],[ 0.84077764 -0.9864079  -0.67691916],10.0,0.01,0.013247898025211893,False
6,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.01634438 0.        ],[0.05       0.01502455 0.        ],[ 0.04512249  0.00314324 -0.000417  ],[ 0.99156153  0.9699906  -0.977955  ],10.0,0.01,0.013247898025211893,False
7,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.01324788  0.        ],[ 0.05       -0.01190346  0.        ],[ 0.04430478 -0.0019426  -0.00066304],[ 0.8407798  -0.9864088  -0.67692345],10.0,0.01,0.013247898025211893,False
8,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.01585184 0.        ],[0.05     0.014532 0.      ],[ 0.04397402  0.00234076 -0.00077671],[ 0.99156153  0.9699906  -0.977955  ],10.0,0.01,0.013247898025211893,False
9,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.01374043  0.        ],[ 0.05     -0.012396  0.      ],[ 0.04360088 -0.00256306 -0.00085555],[ 0.8407798  -0.9864088  -0.67692345],10.0,0.01,0.013247898025211893,False
10,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.01535929 0.        ],[0.05       0.01403946 0.        ],[ 0.04373602  0.00183304 -0.00081872],[ 0.99156153  0.9699906  -0.977955  ],10.0,0.01,0.013247898025211893,False
11,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.01423298  0.        ],[ 0.05       -0.01288855  0.        ],[ 0.04364897 -0.00301146 -0.00081811],[ 0.8407798  -0.9864088  -0.67692345],10.0,0.01,0.013247898025211893,False
12,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.01486674 0.        ],[0.05       0.01354691 0.        ],[ 0.04388225  0.00139148 -0.00076508],[ 0.99156153  0.9699906  -0.977955  ],10.0,0.01,0.013247898025211893,False
13,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.01472552  0.        ],[ 0.05      -0.0133811  0.       ],[ 0.04377686 -0.00346208 -0.00077787],[ 0.8407798  -0.9864088  -0.67692345],10.0,0.01,0.013247898025211893,False
14,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05      0.0143742 0.       ],[0.05       0.01305436 0.        ],[ 0.04395292  0.00093016 -0.00074909],[ 0.99156153  0.9699906  -0.977955  ],10.0,0.01,0.013247898025211893,False
15,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.01521807  0.        ],[ 0.05       -0.01387364  0.        ],[ 0.04379834 -0.00393398 -0.00077594],[ 0.8407798  -0.9864088  -0.67692345],10.0,0.01,0.013247898025211893,False
16,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.01388165 0.        ],[0.05       0.01256182 0.        ],[ 0.04394802  0.00045317 -0.00075526],[ 0.99156153  0.9699906  -0.977955  ],10.0,0.01,0.013247898025211893,False
17,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.01571062  0.        ],[ 0.05       -0.01436619  0.        ],[ 0.04378716 -0.00441205 -0.0007813 ],[ 0.8407798  -0.9864088  -0.67692345],10.0,0.01,0.013247898025211893,False
18,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05      0.0133891 0.       ],[0.05       0.01206927 0.        ],[ 4.39408012e-02 -2.43755326e-05 -7.59553511e-04],[ 0.99156153  0.9699906  -0.977955  ],10.0,0.01,0.013247898025211893,False
19,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.01620316  0.        ],[ 0.05       -0.01485874  0.        ],[ 0.04378662 -0.00488756 -0.00078204],[ 0.8407798  -0.9864088  -0.67692345],10.0,0.01,0.013247898025211893,False
20,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.01289656 0.        ],[0.05       0.01157672 0.        ],[ 0.04394512 -0.00049922 -0.00076003],[ 0.99156153  0.9699906  -0.977955  ],10.0,0.01,0.013247898025211893,False
21,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.01669571  0.        ],[ 0.05       -0.01535128  0.        ],[ 0.04379331 -0.0053616  -0.00078076],[ 0.8407798  -0.9864088  -0.67692345],10.0,0.01,0.013247898025211893,False
22,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.01240401 0.        ],[0.05       0.01108417 0.        ],[ 0.043952   -0.00097357 -0.00076009],[ 0.99156153  0.9699906  -0.977955  ],10.0,0.01,0.013247898025211893,False
23,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.01718826  0.        ],[ 0.05       -0.01584383  0.        ],[ 0.04379965 -0.00583583 -0.00077986],[ 0.8407798  -0.9864088  -0.67692345],10.0,0.01,0.013247898025211893,False
24,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.01191146 0.        ],[0.05       0.01059163 0.        ],[ 0.0439575  -0.00144827 -0.0007607 ],[ 0.99156153  0.9699906  -0.977955  ],10.0,0.01,0.013247898025211893,False
25,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05      -0.0176808  0.       ],[ 0.05       -0.01633638  0.        ],[ 0.04380473 -0.00631033 -0.00077937],[ 0.8407798  -0.9864088  -0.67692345],10.0,0.01,0.013247898025211893,False
26,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.01141892 0.        ],[0.05       0.01009908 0.        ],[ 0.04396228 -0.00192313 -0.00076151],[ 0.99156153  0.9699906  -0.977955  ],10.0,0.01,0.013247898025211893,False
27,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.01817335  0.        ],[ 0.05       -0.01682892  0.        ],[ 0.0438096  -0.00678488 -0.00077893],[ 0.8407798  -0.9864088  -0.67692345],10.0,0.01,0.013247898025211893,False
28,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.01092637 0.        ],[0.05       0.00960653 0.        ],[ 0.04396712 -0.00239799 -0.0007623 ],[ 0.99156153  0.9699906  -0.977955  ],10.0,0.01,0.013247898025211893,False
29,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05      -0.0186659  0.       ],[ 0.05       -0.01732147  0.        ],[ 0.04381458 -0.00725942 -0.00077845],[ 0.8407798  -0.9864088  -0.67692345],10.0,0.01,0.013247898025211893,False
30,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.01043382 0.        ],[0.05       0.00911399 0.        ],[ 0.04397204 -0.00287284 -0.00076307],[ 0.99156153  0.9699906  -0.977955  ],10.0,0.01,0.013247898025211893,False
31,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.01915844  0.        ],[ 0.05       -0.01781402  0.        ],[ 0.0438196  -0.00773396 -0.00077799],[ 0.8407798  -0.9864088  -0.67692345],10.0,0.01,0.013247898025211893,False
32,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.00994128 0.        ],[0.05       0.00862144 0.        ],[ 0.04397693 -0.0033477  -0.00076387],[ 0.99156153  0.9699906  -0.977955  ],10.0,0.01,0.013247898025211893,False
