,origin,output_max,desired_pos_step_I,desired_pos_ctrl_I,ee_position_I,raw_action,substeps,timestep,goal_noise,is_success
0,[0.61011829 0.12516428 0.1894773 ],0.03,[0.02952712 0.00244922 0.        ],[0.02812303 0.00233275 0.        ],[ 0.0101032   0.00016814 -0.00050921],[ 0.9842373   0.0816406  -0.42788327],10.0,0.01,0.004340598867032785,False
1,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.00785893 0.        ],[0.0489597  0.00759614 0.        ],[ 0.02549941  0.00198706 -0.00242403],[ 0.9210994  0.1803236 -0.738863 ],10.0,0.01,0.004340598867032785,False
2,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.01524464 0.        ],[0.04995053 0.01488093 0.        ],[ 0.03612349  0.00786318 -0.0026624 ],[ 0.9219935   0.24619043 -0.73876625],10.0,0.01,0.004340598867032785,False
3,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.00722462 0.        ],[0.04999765 0.0075887  0.        ],[ 0.04199635  0.00899354 -0.00107408],[ 0.8774842  -0.26733398 -0.6027524 ],10.0,0.01,0.004340598867032785,False
4,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.03568765 0.        ],[0.04999989 0.03435148 0.        ],[ 4.44770301e-02  1.98970976e-02 -7.96661954e-05],[ 0.9870939  0.9487679 -0.9584883],10.0,0.01,0.004340598867032785,False
5,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.00607328 0.        ],[0.04999999 0.00741798 0.        ],[ 0.04485988  0.01750571 -0.00028425],[ 0.8453088 -0.9871457 -0.6793376],10.0,0.01,0.004340598867032785,False
6,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.03512653 0.        ],[0.05       0.03380892 0.        ],[ 0.04482169  0.02185063 -0.00047584],[ 0.9904289  0.9684417 -0.9765727],10.0,0.01,0.004340598867032785,False
7,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05      0.0054826 0.       ],[0.05       0.00682959 0.        ],[ 0.04417932  0.01623993 -0.00069348],[ 0.8470547  -0.98813117 -0.6836987 ],10.0,0.01,0.004340598867032785,False
8,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.03453669 0.        ],[0.05       0.03321915 0.        ],[ 0.04388224  0.02025628 -0.00072563],[ 0.99044394  0.9684696  -0.97661203],10.0,0.01,0.004340598867032785,False
9,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.00489271 0.        ],[0.05      0.0062397 0.       ],[ 0.04344888  0.01531309 -0.00087668],[ 0.84705544 -0.98813266 -0.68370414],10.0,0.01,0.004340598867032785,False
