,origin,output_max,desired_pos_step_I,desired_pos_ctrl_I,ee_position_I,raw_action,substeps,timestep,goal_noise,is_success
0,[0.61011829 0.12516428 0.1894773 ],0.03,[0.02962713 0.0101208  0.        ],[0.02821828 0.00963953 0.        ],[ 0.01000777  0.00362109 -0.00047005],[ 0.9875709   0.33736002 -0.58187956],10.0,0.01,0.002192949248824606,False
1,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.01183823  0.        ],[ 0.04896422 -0.01081691  0.        ],[ 0.0256823  -0.00386039 -0.00251452],[ 0.7719748  -0.73196787 -0.47894782],10.0,0.01,0.002192949248824606,False
2,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.01740936 0.        ],[0.04995075 0.01606713 0.        ],[ 0.03660912  0.00143581 -0.00251633],[ 0.99165225  0.9749198  -0.97713244],10.0,0.01,0.002192949248824606,False
3,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.01225009  0.        ],[ 0.04999766 -0.01090353  0.        ],[ 0.04222886 -0.00155671 -0.00097925],[ 0.83561707 -0.9886482  -0.6796869 ],10.0,0.01,0.002192949248824606,False
4,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.01685915 0.        ],[0.04999989 0.01553897 0.        ],[ 0.04499611  0.0036709  -0.0001804 ],[ 0.99090385  0.97030795 -0.9773547 ],10.0,0.01,0.002192949248824606,False
5,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.01279335  0.        ],[ 0.04999999 -0.01144608  0.        ],[ 0.04540867 -0.0010939  -0.00020445],[ 0.83507395 -0.98841685 -0.6786895 ],10.0,0.01,0.002192949248824606,False
6,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.01631592 0.        ],[0.05       0.01499577 0.        ],[ 0.04513416  0.0031039  -0.00041242],[ 0.99090385  0.97030926 -0.9773488 ],10.0,0.01,0.002192949248824606,False
7,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.01333658  0.        ],[ 0.05       -0.01198931  0.        ],[ 0.04431353 -0.00200836 -0.00066005],[ 0.8350744 -0.9884169 -0.6786901],10.0,0.01,0.002192949248824606,False
8,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05      0.0157727 0.       ],[0.05       0.01445254 0.        ],[ 0.04397847  0.00226375 -0.00077595],[ 0.99090385  0.97030926 -0.9773488 ],10.0,0.01,0.002192949248824606,False
9,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.01387981  0.        ],[ 0.05       -0.01253254  0.        ],[ 0.04360274 -0.00266797 -0.00085587],[ 0.8350744 -0.9884169 -0.6786901],10.0,0.01,0.002192949248824606,False
10,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.01522947 0.        ],[0.05       0.01390931 0.        ],[ 0.04373761  0.00170791 -0.0008193 ],[ 0.99090385  0.97030926 -0.9773488 ],10.0,0.01,0.002192949248824606,False
11,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.01442304  0.        ],[ 0.05       -0.01307577  0.        ],[ 0.0436508  -0.00316751 -0.00081822],[ 0.8350744 -0.9884169 -0.6786901],10.0,0.01,0.002192949248824606,False
12,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.01468624 0.        ],[0.05       0.01336608 0.        ],[ 0.04388486  0.00121635 -0.00076531],[ 0.99090385  0.97030926 -0.9773488 ],10.0,0.01,0.002192949248824606,False
13,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.01496627  0.        ],[ 0.05       -0.01361899  0.        ],[ 0.04377988 -0.0036667  -0.00077763],[ 0.8350744 -0.9884169 -0.6786901],10.0,0.01,0.002192949248824606,False
14,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.01414301 0.        ],[0.05       0.01282285 0.        ],[ 0.04395654  0.00070668 -0.00074929],[ 0.99090385  0.97030926 -0.9773488 ],10.0,0.01,0.002192949248824606,False
15,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05      -0.0155095  0.       ],[ 0.05       -0.01416222  0.        ],[ 0.04380213 -0.00418724 -0.0007756 ],[ 0.8350744 -0.9884169 -0.6786901],10.0,0.01,0.002192949248824606,False
16,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.01359978 0.        ],[0.05       0.01227963 0.        ],[ 0.04395221  0.00018079 -0.00075554],[ 0.99090385  0.97030926 -0.9773488 ],10.0,0.01,0.002192949248824606,False
17,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.01605273  0.        ],[ 0.05       -0.01470545  0.        ],[ 0.04379142 -0.0047142  -0.00078093],[ 0.8350744 -0.9884169 -0.6786901],10.0,0.01,0.002192949248824606,False
18,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.01305655 0.        ],[0.05      0.0117364 0.       ],[ 0.0439454  -0.00034564 -0.00075994],[ 0.99090385  0.97030926 -0.9773488 ],10.0,0.01,0.002192949248824606,False
19,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.01659596  0.        ],[ 0.05       -0.01524868  0.        ],[ 0.04379132 -0.00523855 -0.00078164],[ 0.8350744 -0.9884169 -0.6786901],10.0,0.01,0.002192949248824606,False
20,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.01251332 0.        ],[0.05       0.01119317 0.        ],[ 0.04395018 -0.00086936 -0.00076052],[ 0.99090385  0.97030926 -0.9773488 ],10.0,0.01,0.002192949248824606,False
21,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.01713919  0.        ],[ 0.05       -0.01579191  0.        ],[ 0.04379849 -0.00576143 -0.00078033],[ 0.8350744 -0.9884169 -0.6786901],10.0,0.01,0.002192949248824606,False
22,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.01197009 0.        ],[0.05       0.01064994 0.        ],[ 0.04395755 -0.00139258 -0.00076067],[ 0.99090385  0.97030926 -0.9773488 ],10.0,0.01,0.002192949248824606,False
23,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.01768242  0.        ],[ 0.05       -0.01633514  0.        ],[ 0.04380532 -0.0062845  -0.00077939],[ 0.8350744 -0.9884169 -0.6786901],10.0,0.01,0.002192949248824606,False
