,origin,output_max,desired_pos_step_I,desired_pos_ctrl_I,ee_position_I,raw_action,substeps,timestep,goal_noise,is_success
0,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.02196204 -0.00894407  0.        ],[ 0.02091769 -0.00851875  0.        ],[ 0.00769428 -0.00471496 -0.00042348],[ 0.73206794 -0.29813552 -0.78362423],10.0,0.01,0.0065006505564310455,False
1,[0.61011829 0.12516428 0.1894773 ],0.03,[-0.00600687  0.02045545  0.02362921],[-0.00472654  0.01907766  0.02250558],[0.00502575 0.00539061 0.01029611],[-0.93229693  0.9799839   0.78764033],10.0,0.01,0.0065006505564310455,False
2,[0.61011829 0.12516428 0.1894773 ],0.03,[0.02094377 0.00395158 0.        ],[0.01972308 0.00467086 0.0010702 ],[0.00834146 0.00907872 0.01109632],[ 0.89835477 -0.55012906 -0.92519724],10.0,0.01,0.0065006505564310455,False
3,[0.61011829 0.12516428 0.1894773 ],0.03,[-0.00745824  0.03351714  0.02418963],[-0.0061657   0.03214543  0.02309024],[0.00427877 0.01981521 0.01244475],[-0.94673365  0.9855186   0.8063209 ],10.0,0.01,0.0065006505564310455,False
4,[0.61011829 0.12516428 0.1894773 ],0.03,[0.01953873 0.01705292 0.        ],[0.01831642 0.01777061 0.001098  ],[0.0068056  0.02252105 0.01099901],[ 0.89989877 -0.5488073  -0.9260283 ],10.0,0.01,0.0065006505564310455,False
5,[0.61011829 0.12516428 0.1894773 ],0.03,[-0.00886345  0.04661828  0.02418865],[-0.00757098  0.0452465   0.02309063],[0.00241502 0.03245494 0.01222583],[-0.9467394   0.985512    0.80628836],10.0,0.01,0.0065006505564310455,False
6,[0.61011829 0.12516428 0.1894773 ],0.03,[0.01813347 0.03015417 0.        ],[0.01691115 0.03087185 0.00109802],[0.00490811 0.03492113 0.01086348],[ 0.89989734 -0.5488037  -0.92602664],10.0,0.01,0.0065006505564310455,False
7,[0.61011829 0.12516428 0.1894773 ],0.03,[-0.01026871  0.05        0.02418865],[-0.00897624  0.04909041  0.02309063],[0.00088346 0.04073785 0.01210484],[-0.94673926  0.985512    0.80628824],10.0,0.01,0.0065006505564310455,False
8,[0.61011829 0.12516428 0.1894773 ],0.03,[0.01672821 0.03353589 0.        ],[0.0155059  0.03427555 0.00109802],[0.00389471 0.03930812 0.01081279],[ 0.89989734 -0.5488037  -0.92602664],10.0,0.01,0.0065006505564310455,False
9,[0.61011829 0.12516428 0.1894773 ],0.03,[-0.01167397  0.05        0.02418865],[-0.0103815   0.04925226  0.02309063],[2.05061013e-05 4.21791109e-02 1.22193957e-02],[-0.94673926  0.985512    0.80628824],10.0,0.01,0.0065006505564310455,False
10,[0.61011829 0.12516428 0.1894773 ],0.03,[0.01532295 0.03353589 0.        ],[0.01410064 0.03428324 0.00109802],[0.00296196 0.03937697 0.01088324],[ 0.89989734 -0.5488037  -0.92602664],10.0,0.01,0.0065006505564310455,False
11,[0.61011829 0.12516428 0.1894773 ],0.03,[-0.01307923  0.05        0.02418865],[-0.01178676  0.04925263  0.02309063],[-0.00113664  0.04203179  0.0122656 ],[-0.94673926  0.985512    0.80628824],10.0,0.01,0.0065006505564310455,False
12,[0.61011829 0.12516428 0.1894773 ],0.03,[0.01391769 0.03353589 0.        ],[0.01269538 0.03428326 0.00109802],[0.00166878 0.03935059 0.01088948],[ 0.89989734 -0.5488037  -0.92602664],10.0,0.01,0.0065006505564310455,False
13,[0.61011829 0.12516428 0.1894773 ],0.03,[-0.01448449  0.05        0.02418865],[-0.01319201  0.04925263  0.02309063],[-0.00246821  0.04209278  0.01225172],[-0.94673926  0.985512    0.80628824],10.0,0.01,0.0065006505564310455,False
14,[0.61011829 0.12516428 0.1894773 ],0.03,[0.01251243 0.03353589 0.        ],[0.01129012 0.03428326 0.00109802],[0.00036964 0.03941684 0.01089384],[ 0.89989734 -0.5488037  -0.92602664],10.0,0.01,0.0065006505564310455,False
15,[0.61011829 0.12516428 0.1894773 ],0.03,[-0.01588974  0.05        0.02418865],[-0.01459727  0.04925263  0.02309063],[-0.00372761  0.0421398   0.01226666],[-0.94673926  0.985512    0.80628824],10.0,0.01,0.0065006505564310455,False
16,[0.61011829 0.12516428 0.1894773 ],0.03,[0.01110718 0.03353589 0.        ],[0.00988487 0.03428326 0.00109802],[-0.00086225  0.03946226  0.01091627],[ 0.89989734 -0.5488037  -0.92602664],10.0,0.01,0.0065006505564310455,False
17,[0.61011829 0.12516428 0.1894773 ],0.03,[-0.017295    0.05        0.02418865],[-0.01600253  0.04925263  0.02309063],[-0.00495655  0.04218924  0.01229105],[-0.94673926  0.985512    0.80628824],10.0,0.01,0.0065006505564310455,False
18,[0.61011829 0.12516428 0.1894773 ],0.03,[0.00970192 0.03353589 0.        ],[0.00847961 0.03428326 0.00109802],[-0.00208743  0.03951765  0.01093765],[ 0.89989734 -0.5488037  -0.92602664],10.0,0.01,0.0065006505564310455,False
19,[0.61011829 0.12516428 0.1894773 ],0.03,[-0.01870026  0.05        0.02418865],[-0.01740779  0.04925263  0.02309063],[-0.00619031  0.04224311  0.01231199],[-0.94673926  0.985512    0.80628824],10.0,0.01,0.0065006505564310455,False
20,[0.61011829 0.12516428 0.1894773 ],0.03,[0.00829666 0.03353589 0.        ],[0.00707435 0.03428326 0.00109802],[-0.00331937  0.03957171  0.01095658],[ 0.89989734 -0.5488037  -0.92602664],10.0,0.01,0.0065006505564310455,False
21,[0.61011829 0.12516428 0.1894773 ],0.03,[-0.02010552  0.05        0.02418865],[-0.01881305  0.04925263  0.02309063],[-0.00742875  0.04229407  0.01233115],[-0.94673926  0.985512    0.80628824],10.0,0.01,0.0065006505564310455,False
22,[0.61011829 0.12516428 0.1894773 ],0.03,[0.0068914  0.03353589 0.        ],[0.00566909 0.03428326 0.00109802],[-0.00455386  0.03962428  0.01097496],[ 0.89989734 -0.5488037  -0.92602664],10.0,0.01,0.0065006505564310455,False
23,[0.61011829 0.12516428 0.1894773 ],0.03,[-0.02151077  0.05        0.02418865],[-0.0202183   0.04925263  0.02309063],[-0.00866776  0.04234508  0.01235006],[-0.94673926  0.985512    0.80628824],10.0,0.01,0.0065006505564310455,False
24,[0.61011829 0.12516428 0.1894773 ],0.03,[0.00548615 0.03353589 0.        ],[0.00426383 0.03428326 0.00109802],[-0.00578796  0.03967756  0.01099329],[ 0.89989734 -0.5488037  -0.92602664],10.0,0.01,0.0065006505564310455,False
25,[0.61011829 0.12516428 0.1894773 ],0.03,[-0.02291603  0.05        0.02418865],[-0.02162356  0.04925263  0.02309063],[-0.00990608  0.04239679  0.01236899],[-0.94673926  0.985512    0.80628824],10.0,0.01,0.0065006505564310455,False
26,[0.61011829 0.12516428 0.1894773 ],0.03,[0.00408089 0.03353589 0.        ],[0.00285858 0.03428326 0.00109802],[-0.00702145  0.03973137  0.01101153],[ 0.89989734 -0.5488037  -0.92602664],10.0,0.01,0.0065006505564310455,False
27,[0.61011829 0.12516428 0.1894773 ],0.03,[-0.02432129  0.05        0.02418865],[-0.02302882  0.04925263  0.02309063],[-0.01114407  0.04244885  0.01238778],[-0.94673926  0.985512    0.80628824],10.0,0.01,0.0065006505564310455,False
28,[0.61011829 0.12516428 0.1894773 ],0.03,[0.00267563 0.03353589 0.        ],[0.00145332 0.03428326 0.00109802],[-0.00825484  0.03978552  0.01102956],[ 0.89989734 -0.5488037  -0.92602664],10.0,0.01,0.0065006505564310455,False
29,[0.61011829 0.12516428 0.1894773 ],0.03,[-0.02572655  0.05        0.02418865],[-0.02443408  0.04925263  0.02309063],[-0.01238205  0.04250121  0.01240632],[-0.94673926  0.985512    0.80628824],10.0,0.01,0.0065006505564310455,False
30,[0.61011829 0.12516428 0.1894773 ],0.03,[0.00127037 0.03353589 0.        ],[4.80614027e-05 3.42832599e-02 1.09801735e-03],[-0.00948825  0.03983999  0.01104738],[ 0.89989734 -0.5488037  -0.92602664],10.0,0.01,0.0065006505564310455,False
31,[0.61011829 0.12516428 0.1894773 ],0.03,[-0.02713181  0.05        0.02418865],[-0.02583933  0.04925263  0.02309063],[-0.01362002  0.04255385  0.01242463],[-0.94673926  0.985512    0.80628824],10.0,0.01,0.0065006505564310455,False
32,[0.61011829 0.12516428 0.1894773 ],0.03,[-0.00013489  0.03353589  0.        ],[-0.0013572   0.03428326  0.00109802],[-0.01072164  0.0398948   0.011065  ],[ 0.89989734 -0.5488037  -0.92602664],10.0,0.01,0.0065006505564310455,False
33,[0.61011829 0.12516428 0.1894773 ],0.03,[-0.02853706  0.05        0.02418865],[-0.02724459  0.04925263  0.02309063],[-0.01485792  0.0426068   0.01244273],[-0.94673926  0.985512    0.80628824],10.0,0.01,0.0065006505564310455,False
34,[0.61011829 0.12516428 0.1894773 ],0.03,[-0.00154014  0.03353589  0.        ],[-0.00276245  0.03428326  0.00109802],[-0.01195496  0.03994995  0.01108243],[ 0.89989734 -0.5488037  -0.92602664],10.0,0.01,0.0065006505564310455,False
35,[0.61011829 0.12516428 0.1894773 ],0.03,[-0.02994232  0.05        0.02418865],[-0.02864985  0.04925263  0.02309063],[-0.01609575  0.04266008  0.01246061],[-0.94673926  0.985512    0.80628824],10.0,0.01,0.0065006505564310455,False
36,[0.61011829 0.12516428 0.1894773 ],0.03,[-0.0029454   0.03353589  0.        ],[-0.00416771  0.03428326  0.00109802],[-0.01318821  0.04000547  0.01109966],[ 0.89989734 -0.5488037  -0.92602664],10.0,0.01,0.0065006505564310455,False
37,[0.61011829 0.12516428 0.1894773 ],0.03,[-0.03134758  0.05        0.02418865],[-0.03005511  0.04925263  0.02309063],[-0.01733349  0.04271368  0.01247827],[-0.94673926  0.985512    0.80628824],10.0,0.01,0.0065006505564310455,False
38,[0.61011829 0.12516428 0.1894773 ],0.03,[-0.00435066  0.03353589  0.        ],[-0.00557297  0.03428326  0.00109802],[-0.01442139  0.04006134  0.0111167 ],[ 0.89989734 -0.5488037  -0.92602664],10.0,0.01,0.0065006505564310455,False
