,origin,output_max,desired_pos_step_I,desired_pos_ctrl_I,ee_position_I,raw_action,substeps,timestep,goal_noise,is_success
0,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.01612096 -0.02780061  0.0004269 ],[ 0.01535437 -0.02647862  0.0004066 ],[ 0.0059867  -0.01298157 -0.00016568],[ 0.53736544 -0.926687    0.01423013],10.0,0.01,0.015643469928334687,False
1,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.03905568 -0.02369583  0.        ],[ 3.79286241e-02 -2.38281581e-02  1.93350207e-05],[ 0.0188617  -0.02435417 -0.00113277],[ 0.7644906   0.13682604 -0.8478685 ],10.0,0.01,0.015643469928334687,False
2,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05      -0.0148287  0.       ],[ 4.94259758e-02 -1.52566473e-02  9.19428725e-07],[ 0.0314119  -0.02279898 -0.00212337],[ 0.7233679   0.29557097 -0.91545314],10.0,0.01,0.015643469928334687,False
3,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.00788715  0.        ],[ 4.99727037e-02 -8.23758557e-03  4.37211415e-08],[ 0.03918297 -0.01425492 -0.00166835],[ 0.75366235  0.23138511 -0.88123024],10.0,0.01,0.015643469928334687,False
4,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.00019978  0.        ],[ 4.99987020e-02 -5.82000349e-04  2.07904960e-09],[ 0.0431185  -0.00539265 -0.00059758],[ 0.7438301  0.2562455 -0.8977549],10.0,0.01,0.015643469928334687,False
5,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05      0.0071646 0.       ],[4.99999383e-02 6.79623401e-03 9.88637228e-11],[ 0.04464289  0.00226078 -0.00022551],[ 0.7478483   0.24547958 -0.89146763],10.0,0.01,0.015643469928334687,False
6,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05     0.014667 0.      ],[4.99999971e-02 1.42927259e-02 4.70090633e-12],[ 0.0446879   0.00930709 -0.00032359],[ 0.7458588   0.25007987 -0.89429504],10.0,0.01,0.015643469928334687,False
7,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.02211447 0.        ],[4.99999999e-02 2.17425217e-02 2.23265850e-13],[ 0.04407106  0.01627251 -0.00055375],[ 0.7464764   0.24824882 -0.89321184],10.0,0.01,0.015643469928334687,False
8,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.02958539 0.        ],[5.00000000e-02 2.92124418e-02 1.02973186e-14],[ 0.04337973  0.02330844 -0.00076511],[ 0.7461908   0.24903083 -0.89365494],10.0,0.01,0.015643469928334687,False
9,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.03704674 0.        ],[5.00000000e-02 3.66742037e-02 1.38777878e-16],[ 0.04288406  0.03039861 -0.0009    ],[ 0.74630475  0.24871182 -0.89347243],10.0,0.01,0.015643469928334687,False
