,origin,output_max,desired_pos_step_I,desired_pos_ctrl_I,ee_position_I,raw_action,substeps,timestep,goal_noise,is_success
0,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.01750906 -0.02778064  0.00015983],[ 0.01667646 -0.0264596   0.00015223],[ 0.00645048 -0.01302791 -0.00031224],[ 0.58363533 -0.9260214   0.00532758],10.0,0.01,0.0027678534925955132,False
1,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.03851234 -0.02159118  0.        ],[ 3.74739925e-02 -2.18226883e-02  7.23878853e-06],[ 0.01904533 -0.0234286  -0.00131447],[ 0.7001095   0.20631528 -0.85781175],10.0,0.01,0.0027678534925955132,False
2,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05      -0.0116315  0.       ],[ 4.94043569e-02 -1.21161210e-02  3.44222549e-07],[ 0.03142832 -0.02039183 -0.00205861],[ 0.65736985  0.3319893  -0.9078112 ],10.0,0.01,0.0027678534925955132,False
3,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.00351129  0.        ],[ 4.99716757e-02 -3.92047313e-03  1.63686452e-08],[ 0.0391253  -0.01062599 -0.0016218 ],[ 0.6710365   0.27067375 -0.87471926],10.0,0.01,0.0027678534925955132,False
4,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.00597608 0.        ],[4.99986531e-02 5.50547227e-03 7.78369813e-10],[ 0.04297973 -0.00038361 -0.00057925],[ 0.6717539   0.31624568 -0.89809006],10.0,0.01,0.0027678534925955132,False
5,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.01438203 0.        ],[4.99999360e-02 1.39599291e-02 3.70131426e-11],[ 0.04443365  0.00857207 -0.00022514],[ 0.67176867  0.28019845 -0.8804368 ],10.0,0.01,0.0027678534925955132,False
6,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.02366981 0.        ],[4.99999970e-02 2.32080773e-02 1.75981452e-12],[ 0.04443044  0.01704369 -0.0003413 ],[ 0.67203784  0.3095925  -0.8948386 ],10.0,0.01,0.0027678534925955132,False
7,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.03225941 0.        ],[4.99999999e-02 3.18289984e-02 8.34055047e-14],[ 0.04377074  0.02534617 -0.00058902],[ 0.671432   0.2863202 -0.8833256],10.0,0.01,0.0027678534925955132,False
8,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.04143192 0.        ],[5.00000000e-02 4.09752767e-02 3.66373598e-15],[ 0.04304476  0.03378131 -0.00081703],[ 0.67192984  0.30575025 -0.89290524],10.0,0.01,0.0027678534925955132,False
9,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[5.00000000e-02 4.95708518e-02 1.38777878e-16],[ 0.0425123   0.04214907 -0.0009708 ],[ 0.6713654   0.28994966 -0.8851194 ],10.0,0.01,0.0027678534925955132,False
10,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[5.00000000e-02 4.99795929e-02 1.38777878e-16],[ 0.04243819  0.04659866 -0.00108259],[ 0.67187476  0.30338907 -0.891716  ],10.0,0.01,0.0027678534925955132,False
11,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[5.00000000e-02 4.99990296e-02 1.38777878e-16],[ 0.04285519  0.04747006 -0.0010347 ],[ 0.67134845  0.29216826 -0.8862246 ],10.0,0.01,0.0027678534925955132,False
12,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[5.00000000e-02 4.99999539e-02 1.38777878e-16],[ 0.04325208  0.04709403 -0.00090035],[ 0.6717737   0.30182934 -0.89093924],10.0,0.01,0.0027678534925955132,False
13,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[5.00000000e-02 4.99999978e-02 1.38777878e-16],[ 0.04337244  0.04679152 -0.00084136],[ 0.67133176  0.2936554  -0.88695645],10.0,0.01,0.0027678534925955132,False
14,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[5.00000000e-02 4.99999999e-02 1.38777878e-16],[ 0.04329791  0.04677534 -0.0008633 ],[ 0.6716459  0.3006978 -0.8903831],10.0,0.01,0.0027678534925955132,False
15,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[5.00000000e-02 5.00000000e-02 1.38777878e-16],[ 0.04318784  0.04684316 -0.00090373],[ 0.67131495  0.2947533  -0.8874905 ],10.0,0.01,0.0027678534925955132,False
16,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[5.00000000e-02 5.00000000e-02 1.38777878e-16],[ 0.04312339  0.04686738 -0.00092589],[ 0.6715512   0.29986513 -0.88997227],10.0,0.01,0.0027678534925955132,False
17,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[5.00000000e-02 5.00000000e-02 1.38777878e-16],[ 0.0431064   0.04685423 -0.00092854],[ 0.67130244  0.2955613  -0.88788235],10.0,0.01,0.0027678534925955132,False
18,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[5.00000000e-02 5.00000000e-02 1.38777878e-16],[ 0.0431122   0.04684125 -0.00092328],[ 0.6714817   0.29925227 -0.88966906],10.0,0.01,0.0027678534925955132,False
19,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[5.00000000e-02 5.00000000e-02 1.38777878e-16],[ 0.04312247  0.04684076 -0.00091825],[ 0.67129326  0.29615605 -0.88817   ],10.0,0.01,0.0027678534925955132,False
20,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[5.00000000e-02 5.00000000e-02 1.38777878e-16],[ 0.04313013  0.04684589 -0.0009156 ],[ 0.67143035  0.29880142 -0.8894456 ],10.0,0.01,0.0027678534925955132,False
21,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[5.00000000e-02 5.00000000e-02 1.38777878e-16],[ 0.04313416  0.04684941 -0.0009147 ],[ 0.6713021   0.2965678  -0.88836807],10.0,0.01,0.0027678534925955132,False
22,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[5.00000000e-02 5.00000000e-02 1.38777878e-16],[ 0.04313536  0.04684996 -0.00091468],[ 0.67140436  0.2984681  -0.8892834 ],10.0,0.01,0.0027678534925955132,False
23,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[5.00000000e-02 5.00000000e-02 1.38777878e-16],[ 0.04313492  0.0468492  -0.00091501],[ 0.67131674  0.29685473 -0.88850623],10.0,0.01,0.0027678534925955132,False
24,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[5.00000000e-02 5.00000000e-02 1.38777878e-16],[ 0.04313393  0.04684852 -0.0009154 ],[ 0.67139125  0.29822493 -0.8891665 ],10.0,0.01,0.0027678534925955132,False
25,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[5.00000000e-02 5.00000000e-02 1.38777878e-16],[ 0.04313311  0.04684824 -0.00091568],[ 0.67132807  0.2970612  -0.88860595],10.0,0.01,0.0027678534925955132,False
26,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[5.00000000e-02 5.00000000e-02 1.38777878e-16],[ 0.0431327   0.04684819 -0.00091581],[ 0.6713816   0.29804957 -0.88908213],10.0,0.01,0.0027678534925955132,False
27,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[5.00000000e-02 5.00000000e-02 1.38777878e-16],[ 0.04313264  0.04684821 -0.00091581],[ 0.67133594  0.29721022 -0.88867784],10.0,0.01,0.0027678534925955132,False
28,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[5.00000000e-02 5.00000000e-02 1.38777878e-16],[ 0.04313275  0.04684823 -0.00091577],[ 0.6713748   0.2979231  -0.88902134],10.0,0.01,0.0027678534925955132,False
29,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[5.00000000e-02 5.00000000e-02 1.38777878e-16],[ 0.04313288  0.04684826 -0.00091573],[ 0.6713418   0.29731762 -0.88872963],10.0,0.01,0.0027678534925955132,False
30,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[5.00000000e-02 5.00000000e-02 1.38777878e-16],[ 0.04313296  0.04684828 -0.0009157 ],[ 0.6713697   0.2978319  -0.88897735],10.0,0.01,0.0027678534925955132,False
31,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[5.00000000e-02 5.00000000e-02 1.38777878e-16],[ 0.043133    0.04684829 -0.0009157 ],[ 0.67134595  0.2973951  -0.888767  ],10.0,0.01,0.0027678534925955132,False
32,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[5.00000000e-02 5.00000000e-02 1.38777878e-16],[ 0.04313299  0.04684829 -0.0009157 ],[ 0.6713662   0.2977662  -0.88894576],10.0,0.01,0.0027678534925955132,False
33,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[5.00000000e-02 5.00000000e-02 1.38777878e-16],[ 0.04313298  0.04684829 -0.00091571],[ 0.67134905  0.29745102 -0.8887939 ],10.0,0.01,0.0027678534925955132,False
34,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[5.00000000e-02 5.00000000e-02 1.38777878e-16],[ 0.04313297  0.04684828 -0.00091571],[ 0.6713636   0.29771852 -0.88892287],10.0,0.01,0.0027678534925955132,False
