,origin,output_max,desired_pos_step_I,desired_pos_ctrl_I,ee_position_I,raw_action,substeps,timestep,goal_noise,is_success
0,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.01484756 -0.00527888  0.        ],[ 0.01414152 -0.00502785  0.        ],[ 0.00519512 -0.00283685 -0.00028693],[ 0.4949187  -0.17596257 -0.7754969 ],10.0,0.01,0.014561331831879102,False
1,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.02754018 -0.00853838  0.        ],[ 0.02690304 -0.00837145  0.        ],[ 0.01397195 -0.00752767 -0.00118347],[ 0.42308724 -0.10865027 -0.792974  ],10.0,0.01,0.014561331831879102,False
2,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.040334   -0.01259782  0.        ],[ 0.03969532 -0.01239684  0.        ],[ 0.02450633 -0.01206001 -0.00158722],[ 0.42646074 -0.13531435 -0.7879409 ],10.0,0.01,0.014561331831879102,False
3,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.01658287  0.        ],[ 0.04950999 -0.01638381  0.        ],[ 0.03485668 -0.01598734 -0.00165349],[ 0.42374897 -0.13283515 -0.7891733 ],10.0,0.01,0.014561331831879102,False
4,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05      -0.0205942  0.       ],[ 0.0499767  -0.02039398  0.        ],[ 0.04125546 -0.01943245 -0.00128743],[ 0.42387772 -0.13371098 -0.7889904 ],10.0,0.01,0.014561331831879102,False
5,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.02460298  0.        ],[ 0.04999889 -0.02440283  0.        ],[ 0.04430401 -0.02278468 -0.00058671],[ 0.42378914 -0.13362604 -0.7890313 ],10.0,0.01,0.014561331831879102,False
6,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.02861262  0.        ],[ 0.04999995 -0.02841244  0.        ],[ 0.04534188 -0.02643957 -0.00038634],[ 0.42379367 -0.13365483 -0.7890251 ],10.0,0.01,0.014561331831879102,False
7,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.03262219  0.        ],[ 0.05     -0.032422  0.      ],[ 0.04528573 -0.03034704 -0.00051031],[ 0.42379093 -0.13365209 -0.78902656],10.0,0.01,0.014561331831879102,False
8,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.03663177  0.        ],[ 0.05       -0.03643159  0.        ],[ 0.04483286 -0.03433766 -0.00070192],[ 0.42379105 -0.1336528  -0.7890263 ],10.0,0.01,0.014561331831879102,False
9,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.04064135  0.        ],[ 0.05       -0.04044117  0.        ],[ 0.04440433 -0.03830074 -0.0008523 ],[ 0.42379093 -0.13365275 -0.7890264 ],10.0,0.01,0.014561331831879102,False
10,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.04465094  0.        ],[ 0.05       -0.04445075  0.        ],[ 0.04415856 -0.04221102 -0.0009361 ],[ 0.42379093 -0.13365287 -0.7890264 ],10.0,0.01,0.014561331831879102,False
11,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.04866052  0.        ],[ 0.05       -0.04846034  0.        ],[ 0.04408598 -0.04608843 -0.00096753],[ 0.42379093 -0.1336528  -0.7890264 ],10.0,0.01,0.014561331831879102,False
