,origin,output_max,desired_pos_step_I,desired_pos_ctrl_I,ee_position_I,raw_action,substeps,timestep,goal_noise,is_success
0,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.01485885 -0.00578819  0.        ],[ 0.01415228 -0.00551295  0.        ],[ 0.00520709 -0.00306596 -0.00028919],[ 0.49529505 -0.19293964 -0.77302593],10.0,0.01,0.015557402227771095,False
1,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.02749883 -0.00933962  0.        ],[ 0.02686417 -0.00915766  0.        ],[ 0.01398331 -0.00810543 -0.00118226],[ 0.42133272 -0.11838114 -0.7923119 ],10.0,0.01,0.015557402227771095,False
2,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.04026125 -0.01373272  0.        ],[ 0.03962419 -0.01351516  0.        ],[ 0.02449464 -0.01297921 -0.00157826],[ 0.4254141  -0.14643645 -0.7868247 ],10.0,0.01,0.015557402227771095,False
3,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.01804359  0.        ],[ 0.0495066  -0.01782825  0.        ],[ 0.03484658 -0.01722412 -0.0016488 ],[ 0.42258453 -0.14369589 -0.7881427 ],10.0,0.01,0.015557402227771095,False
4,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.02238204  0.        ],[ 0.04997654 -0.0221655   0.        ],[ 0.04125234 -0.02098234 -0.00129492],[ 0.4227358  -0.14461493 -0.7879443 ],10.0,0.01,0.015557402227771095,False
5,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05      -0.0267177  0.       ],[ 0.04999888 -0.02650123  0.        ],[ 0.04430864 -0.02465281 -0.00059672],[ 0.42264366 -0.14452207 -0.78798807],10.0,0.01,0.015557402227771095,False
6,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.03105427  0.        ],[ 0.04999995 -0.03083776  0.        ],[ 0.04535344 -0.02862914 -0.00039596],[ 0.42264903 -0.14455211 -0.7879814 ],10.0,0.01,0.015557402227771095,False
7,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.03539074  0.        ],[ 0.05       -0.03517423  0.        ],[ 0.04530067 -0.03285601 -0.0005206 ],[ 0.42264616 -0.14454901 -0.7879828 ],10.0,0.01,0.015557402227771095,False
8,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.03972724  0.        ],[ 0.05       -0.03951073  0.        ],[ 0.04484729 -0.03716254 -0.00071434],[ 0.42264628 -0.14454997 -0.7879826 ],10.0,0.01,0.015557402227771095,False
9,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.04406373  0.        ],[ 0.05       -0.04384722  0.        ],[ 0.0444157  -0.04143993 -0.00086792],[ 0.42264628 -0.14454979 -0.78798264],10.0,0.01,0.015557402227771095,False
10,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.04840022  0.        ],[ 0.05       -0.04818371  0.        ],[ 0.04416571 -0.04566501 -0.00095546],[ 0.42264628 -0.14454973 -0.78798264],10.0,0.01,0.015557402227771095,False
11,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.05273671  0.        ],[ 0.05       -0.05252021  0.        ],[ 0.04408858 -0.04985837 -0.00099085],[ 0.42264628 -0.14454973 -0.78798264],10.0,0.01,0.015557402227771095,False
12,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05      -0.0570732  0.       ],[ 0.05      -0.0568567  0.       ],[ 0.04411043 -0.05404278 -0.00100114],[ 0.42264628 -0.14454973 -0.78798264],10.0,0.01,0.015557402227771095,False
13,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05      -0.0614097  0.       ],[ 0.05       -0.06119319  0.        ],[ 0.0441606  -0.05822897 -0.00100872],[ 0.42264628 -0.14454973 -0.78798264],10.0,0.01,0.015557402227771095,False
14,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.06574619  0.        ],[ 0.05       -0.06552968  0.        ],[ 0.04419811 -0.06241893 -0.00102476],[ 0.42264628 -0.14454973 -0.78798264],10.0,0.01,0.015557402227771095,False
15,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.07008268  0.        ],[ 0.05       -0.06986617  0.        ],[ 0.04421031 -0.06661159 -0.00105115],[ 0.42264628 -0.14454973 -0.78798264],10.0,0.01,0.015557402227771095,False
16,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.07441917  0.        ],[ 0.05       -0.07420266  0.        ],[ 0.04420093 -0.07080556 -0.00108531],[ 0.42264628 -0.14454973 -0.78798264],10.0,0.01,0.015557402227771095,False
17,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.07875566  0.        ],[ 0.05       -0.07853916  0.        ],[ 0.04417877 -0.07499976 -0.00112392],[ 0.42264628 -0.14454973 -0.78798264],10.0,0.01,0.015557402227771095,False
18,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.08309215  0.        ],[ 0.05       -0.08287565  0.        ],[ 0.04415117 -0.07919352 -0.00116473],[ 0.42264628 -0.14454973 -0.78798264],10.0,0.01,0.015557402227771095,False
