,origin,output_max,desired_pos_step_I,desired_pos_ctrl_I,ee_position_I,raw_action,substeps,timestep,goal_noise,is_success
0,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.01432225 -0.00916832  0.        ],[ 0.01364119 -0.00873235  0.        ],[ 0.00507584 -0.0045666  -0.00029271],[ 0.4774083  -0.30561078 -0.7599251 ],10.0,0.01,0.00753045457105911,False
1,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.02606937 -0.01580439  0.        ],[ 0.02547837 -0.01546809  0.        ],[ 0.01349766 -0.01240045 -0.00112213],[ 0.39157057 -0.22120214 -0.7850012 ],10.0,0.01,0.00753045457105911,False
2,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.03795152 -0.02355734  0.        ],[ 0.03735839 -0.02317267  0.        ],[ 0.02338829 -0.02054146 -0.00143571],[ 0.3960719  -0.25843167 -0.7780077 ],10.0,0.01,0.00753045457105911,False
3,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.04973358 -0.031226    0.        ],[ 0.04914511 -0.03084304  0.        ],[ 0.0339417  -0.02813503 -0.0015639 ],[ 0.39273536 -0.25562197 -0.7795778 ],10.0,0.01,0.00753045457105911,False
4,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.03893797  0.        ],[ 0.04995935 -0.03855304  0.        ],[ 0.04072944 -0.03522277 -0.00144316],[ 0.39279127 -0.2570659  -0.7793283 ],10.0,0.01,0.00753045457105911,False
5,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.04664683  0.        ],[ 0.04999807 -0.04626195  0.        ],[ 0.04406438 -0.04217084 -0.00076621],[ 0.39264715 -0.25696206 -0.7793928 ],10.0,0.01,0.00753045457105911,False
6,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.05435753  0.        ],[ 0.04999991 -0.05397257  0.        ],[ 0.04529482 -0.04942611 -0.00052914],[ 0.3926475  -0.25702322 -0.7793828 ],10.0,0.01,0.00753045457105911,False
7,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.06206812  0.        ],[ 0.05       -0.06168316  0.        ],[ 0.04532615 -0.05693014 -0.00065319],[ 0.3926413  -0.25701976 -0.77938545],10.0,0.01,0.00753045457105911,False
8,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.06977879  0.        ],[ 0.05       -0.06939383  0.        ],[ 0.04486681 -0.06449755 -0.00087841],[ 0.3926413  -0.25702238 -0.77938503],10.0,0.01,0.00753045457105911,False
9,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.07748946  0.        ],[ 0.05       -0.07710449  0.        ],[ 0.04437253 -0.0720239  -0.00108184],[ 0.39264095 -0.25702226 -0.7793851 ],10.0,0.01,0.00753045457105911,False
10,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.08520013  0.        ],[ 0.05       -0.08481516  0.        ],[ 0.0440355  -0.07949778 -0.00122766],[ 0.39264095 -0.25702226 -0.7793851 ],10.0,0.01,0.00753045457105911,False
11,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05      -0.0929108  0.       ],[ 0.05       -0.09252583  0.        ],[ 0.04386659 -0.08694573 -0.00132367],[ 0.39264095 -0.25702226 -0.7793851 ],10.0,0.01,0.00753045457105911,False
12,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.10062147  0.        ],[ 0.05      -0.1002365  0.       ],[ 0.04379916 -0.09438897 -0.00139507],[ 0.39264095 -0.25702226 -0.7793851 ],10.0,0.01,0.00753045457105911,False
13,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.05       -0.10833213  0.        ],[ 0.05       -0.10794717  0.        ],[ 0.04376218 -0.10183368 -0.00146515],[ 0.39264095 -0.25702226 -0.7793851 ],10.0,0.01,0.00753045457105911,False
