,origin,output_max,desired_pos_step_I,desired_pos_ctrl_I,ee_position_I,raw_action,substeps,timestep,goal_noise,is_success
0,[0.61011829 0.12516428 0.1894773 ],0.03,[0.02546957 0.00194071 0.0296622 ],[0.02425843 0.00184843 0.02825169],[0.01000332 0.00088634 0.01335023],[0.8489857  0.06469047 0.98873997],10.0,0.01,0.006993785542939153,False
1,[0.61011829 0.12516428 0.1894773 ],0.03,[-0.00425121  0.03111142  0.00247462],[-0.0028955   0.0297199   0.00370039],[0.00575652 0.01413217 0.01389258],[-0.9906926   0.97235703 -0.90625256],10.0,0.01,0.006993785542939153,False
2,[0.61011829 0.12516428 0.1894773 ],0.03,[0.02393552 0.01165127 0.        ],[0.02265964 0.01251048 0.00017596],[0.01019341 0.01764418 0.00363463],[ 0.9395578 -0.6486718 -0.584483 ],10.0,0.01,0.006993785542939153,False
3,[0.61011829 0.12516428 0.1894773 ],0.03,[0.04707987 0.02606339 0.02982052],[0.04591863 0.02541891 0.02841084],[0.02473066 0.01968303 0.01175788],[0.7714783  0.4804039  0.99401724],10.0,0.01,0.006993785542939153,False
4,[0.61011829 0.12516428 0.1894773 ],0.03,[0.01720184 0.05       0.00290987],[0.0185674  0.04883111 0.00412251],[0.02260066 0.0330138  0.01298956],[-0.9959343  0.9857944 -0.8970215],10.0,0.01,0.006993785542939153,False
5,[0.61011829 0.12516428 0.1894773 ],0.03,[0.04541286 0.03069691 0.        ],[0.0441363  0.03155923 0.00019604],[0.02855529 0.03573133 0.00342533],[ 0.94036734 -0.6434365  -0.5954173 ],10.0,0.01,0.006993785542939153,False
6,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.04487297 0.0298192 ],[0.04972117 0.04423987 0.02841054],[0.03741715 0.03802514 0.01207357],[0.77392435 0.4725355  0.99397326],10.0,0.01,0.006993785542939153,False
7,[0.61011829 0.12516428 0.1894773 ],0.03,[0.02012222 0.05       0.0028952 ],[0.02152972 0.04972609 0.00410852],[0.03023502 0.04350825 0.01383664],[-0.99592614  0.9857216  -0.8974664 ],10.0,0.01,0.006993785542939153,False
8,[0.61011829 0.12516428 0.1894773 ],0.03,[0.04833209 0.03069762 0.        ],[0.04705757 0.03160247 0.00019537],[0.03355566 0.03831364 0.0036025 ],[ 0.9403293  -0.6434126  -0.59539557],10.0,0.01,0.006993785542939153,False
9,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.04487405 0.0298192 ],[0.04986008 0.04424295 0.02841051],[0.03952416 0.03747586 0.01223034],[0.7739173  0.47254753 0.99397326],10.0,0.01,0.006993785542939153,False
10,[0.61011829 0.12516428 0.1894773 ],0.03,[0.02012222 0.05       0.00289524],[0.02153633 0.04972624 0.00410855],[0.03048317 0.0428014  0.01381702],[-0.99592614  0.9857217  -0.8974653 ],10.0,0.01,0.006993785542939153,False
11,[0.61011829 0.12516428 0.1894773 ],0.03,[0.0483321  0.03069762 0.        ],[0.0470579  0.03160248 0.00019537],[0.03302294 0.03808392 0.00344866],[ 0.94032955 -0.6434127  -0.5953954 ],10.0,0.01,0.006993785542939153,False
12,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.04487405 0.0298192 ],[0.0498601  0.04424295 0.02841051],[0.03893894 0.0374472  0.01198003],[0.7739173  0.47254765 0.99397326],10.0,0.01,0.006993785542939153,False
13,[0.61011829 0.12516428 0.1894773 ],0.03,[0.02012222 0.05       0.00289524],[0.02153633 0.04972624 0.00410855],[0.03011545 0.0427994  0.01371263],[-0.99592614  0.9857217  -0.8974652 ],10.0,0.01,0.006993785542939153,False
14,[0.61011829 0.12516428 0.1894773 ],0.03,[0.0483321  0.03069762 0.        ],[0.04705789 0.03160248 0.00019537],[0.0329091  0.03805514 0.00344575],[ 0.94032943 -0.64341265 -0.5953956 ],10.0,0.01,0.006993785542939153,False
15,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.04487405 0.0298192 ],[0.0498601  0.04424295 0.02841051],[0.0389728  0.037431   0.01200245],[0.77391744 0.47254753 0.99397326],10.0,0.01,0.006993785542939153,False
16,[0.61011829 0.12516428 0.1894773 ],0.03,[0.02012222 0.05       0.00289524],[0.02153633 0.04972624 0.00410855],[0.03018659 0.04280827 0.0137418 ],[-0.99592614  0.9857217  -0.8974652 ],10.0,0.01,0.006993785542939153,False
17,[0.61011829 0.12516428 0.1894773 ],0.03,[0.0483321  0.03069762 0.        ],[0.04705789 0.03160248 0.00019537],[0.03296464 0.03807517 0.00346032],[ 0.94032943 -0.64341265 -0.5953956 ],10.0,0.01,0.006993785542939153,False
18,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.04487405 0.0298192 ],[0.0498601  0.04424295 0.02841051],[0.03899942 0.03744775 0.01201183],[0.77391744 0.47254753 0.99397326],10.0,0.01,0.006993785542939153,False
19,[0.61011829 0.12516428 0.1894773 ],0.03,[0.02012222 0.05       0.00289524],[0.02153633 0.04972624 0.00410855],[0.03019445 0.04281234 0.01374245],[-0.99592614  0.9857217  -0.8974652 ],10.0,0.01,0.006993785542939153,False
20,[0.61011829 0.12516428 0.1894773 ],0.03,[0.0483321  0.03069762 0.        ],[0.04705789 0.03160248 0.00019537],[0.03296142 0.03807229 0.0034582 ],[ 0.94032943 -0.64341265 -0.5953956 ],10.0,0.01,0.006993785542939153,False
21,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.04487405 0.0298192 ],[0.0498601  0.04424295 0.02841051],[0.03899259 0.03744392 0.01200883],[0.77391744 0.47254753 0.99397326],10.0,0.01,0.006993785542939153,False
22,[0.61011829 0.12516428 0.1894773 ],0.03,[0.02012222 0.05       0.00289524],[0.02153633 0.04972624 0.00410855],[0.03018857 0.04281052 0.01374073],[-0.99592614  0.9857217  -0.8974652 ],10.0,0.01,0.006993785542939153,False
23,[0.61011829 0.12516428 0.1894773 ],0.03,[0.0483321  0.03069762 0.        ],[0.04705789 0.03160248 0.00019537],[0.03295844 0.03807181 0.00345774],[ 0.94032943 -0.64341265 -0.5953956 ],10.0,0.01,0.006993785542939153,False
24,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.04487405 0.0298192 ],[0.0498601  0.04424295 0.02841051],[0.03899212 0.03744387 0.01200873],[0.77391744 0.47254753 0.99397326],10.0,0.01,0.006993785542939153,False
25,[0.61011829 0.12516428 0.1894773 ],0.03,[0.02012222 0.05       0.00289524],[0.02153633 0.04972624 0.00410855],[0.03018916 0.04281066 0.013741  ],[-0.99592614  0.9857217  -0.8974652 ],10.0,0.01,0.006993785542939153,False
26,[0.61011829 0.12516428 0.1894773 ],0.03,[0.0483321  0.03069762 0.        ],[0.04705789 0.03160248 0.00019537],[0.03295922 0.03807203 0.00345797],[ 0.94032943 -0.64341265 -0.5953956 ],10.0,0.01,0.006993785542939153,False
27,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.04487405 0.0298192 ],[0.0498601  0.04424295 0.02841051],[0.03899266 0.03744408 0.01200894],[0.77391744 0.47254753 0.99397326],10.0,0.01,0.006993785542939153,False
28,[0.61011829 0.12516428 0.1894773 ],0.03,[0.02012222 0.05       0.00289524],[0.02153633 0.04972624 0.00410855],[0.03018943 0.04281074 0.01374105],[-0.99592614  0.9857217  -0.8974652 ],10.0,0.01,0.006993785542939153,False
29,[0.61011829 0.12516428 0.1894773 ],0.03,[0.0483321  0.03069762 0.        ],[0.04705789 0.03160248 0.00019537],[0.03295926 0.03807203 0.00345795],[ 0.94032943 -0.64341265 -0.5953956 ],10.0,0.01,0.006993785542939153,False
30,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.04487405 0.0298192 ],[0.0498601  0.04424295 0.02841051],[0.03899259 0.03744404 0.01200891],[0.77391744 0.47254753 0.99397326],10.0,0.01,0.006993785542939153,False
31,[0.61011829 0.12516428 0.1894773 ],0.03,[0.02012222 0.05       0.00289524],[0.02153633 0.04972624 0.00410855],[0.03018934 0.04281072 0.01374102],[-0.99592614  0.9857217  -0.8974652 ],10.0,0.01,0.006993785542939153,False
32,[0.61011829 0.12516428 0.1894773 ],0.03,[0.0483321  0.03069762 0.        ],[0.04705789 0.03160248 0.00019537],[0.03295921 0.03807201 0.00345793],[ 0.94032943 -0.64341265 -0.5953956 ],10.0,0.01,0.006993785542939153,False
