,origin,output_max,desired_pos_step_I,desired_pos_ctrl_I,ee_position_I,raw_action,substeps,timestep,goal_noise,is_success
0,[0.61011829 0.12516428 0.1894773 ],0.03,[ 0.02477227 -0.00474767  0.02950024],[ 0.02359429 -0.0045219   0.02809743],[ 0.00986736 -0.00209878  0.01326322],[ 0.8257425  -0.15825558  0.98334134],10.0,0.01,0.029728995764981777,False
1,[0.61011829 0.12516428 0.1894773 ],0.03,[-0.00322001  0.02236212  0.00496395],[-0.00194492  0.02108371  0.00606401],[0.00637003 0.00744792 0.01496033],[-0.9330761   0.90365946 -0.8178763 ],10.0,0.01,0.029728995764981777,False
2,[0.61011829 0.12516428 0.1894773 ],0.03,[0.02354099 0.00567079 0.        ],[0.02232907 0.00640371 0.00028836],[0.01066482 0.01027068 0.00474317],[ 0.89203334 -0.55637753 -0.3086548 ],10.0,0.01,0.029728995764981777,False
3,[0.61011829 0.12516428 0.1894773 ],0.03,[0.0485176  0.01180982 0.0297436 ],[0.04727227 0.01155274 0.02834293],[0.02546289 0.0095597  0.01193512],[0.8325535  0.20463419 0.9914534 ],10.0,0.01,0.029728995764981777,False
4,[0.61011829 0.12516428 0.1894773 ],0.03,[0.01925803 0.03992876 0.0017553 ],[0.02059017 0.03857941 0.00301961],[0.02398653 0.02195272 0.01231641],[-0.975319   0.9372983 -0.9329433],10.0,0.01,0.029728995764981777,False
5,[0.61011829 0.12516428 0.1894773 ],0.03,[0.04610344 0.02442675 0.        ],[0.04489022 0.02509974 0.00014359],[0.02972742 0.0270545  0.00294556],[ 0.89484715 -0.51673394 -0.472409  ],10.0,0.01,0.029728995764981777,False
6,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.02593417 0.02968027],[0.04975702 0.02589449 0.02827573],[0.03818684 0.02600168 0.01196211],[0.8436533  0.05024743 0.98934245],10.0,0.01,0.029728995764981777,False
7,[0.61011829 0.12516428 0.1894773 ],0.03,[0.0212291  0.05       0.00259564],[0.02258567 0.04885372 0.00381679],[0.03117742 0.03524854 0.01381856],[-0.95903015  0.9193034  -0.9028212 ],10.0,0.01,0.029728995764981777,False
8,[0.61011829 0.12516428 0.1894773 ],0.03,[0.04811377 0.03413412 0.        ],[0.04689985 0.03483408 0.0001815 ],[0.0334866  0.03732036 0.00355694],[ 0.89615583 -0.52886254 -0.4260357 ],10.0,0.01,0.029728995764981777,False
9,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.03674095 0.02969673],[0.04985258 0.03665028 0.02829321],[0.03917884 0.03568195 0.01196373],[0.84052587 0.08689427 0.9898912 ],10.0,0.01,0.029728995764981777,False
10,[0.61011829 0.12516428 0.1894773 ],0.03,[0.02107918 0.05       0.00231278],[0.02244743 0.04936519 0.00354822],[0.03089567 0.04054412 0.01340632],[-0.9640273   0.923743   -0.91279846],10.0,0.01,0.029728995764981777,False
11,[0.61011829 0.12516428 0.1894773 ],0.03,[0.04795768 0.03422719 0.        ],[0.0467446  0.03494704 0.00016873],[0.03317301 0.03845148 0.00323129],[ 0.89594984 -0.5257604  -0.44394398],10.0,0.01,0.029728995764981777,False
12,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.03643255 0.02969085],[0.0498452  0.03636191 0.028287  ],[0.03900527 0.03503067 0.01189782],[0.8418598  0.07351208 0.9896951 ],10.0,0.01,0.029728995764981777,False
13,[0.61011829 0.12516428 0.1894773 ],0.03,[0.02113044 0.05       0.00241057],[0.0224959  0.04935147 0.00364106],[0.03075475 0.03993094 0.0134524 ],[-0.9623188   0.92218494 -0.90934277],10.0,0.01,0.029728995764981777,False
14,[0.61011829 0.12516428 0.1894773 ],0.03,[0.04801101 0.03419509 0.        ],[0.04679771 0.03491581 0.00017314],[0.03305758 0.03830156 0.00326777],[ 0.8960192  -0.5268305  -0.43780017],10.0,0.01,0.029728995764981777,False
15,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.03653814 0.02969289],[0.04984772 0.036461   0.02828915],[0.03894506 0.03514729 0.01187189],[0.8414614  0.07810199 0.989763  ],10.0,0.01,0.029728995764981777,False
16,[0.61011829 0.12516428 0.1894773 ],0.03,[0.02111254 0.05       0.00237647],[0.02247897 0.04935619 0.00360869],[0.03074408 0.04004449 0.01343496],[-0.96291536  0.9227252  -0.91054726],10.0,0.01,0.029728995764981777,False
17,[0.61011829 0.12516428 0.1894773 ],0.03,[0.04799238 0.03420628 0.        ],[0.04677916 0.03492669 0.0001716 ],[0.03307906 0.03834016 0.00326449],[ 0.8959948  -0.5264575  -0.43994582],10.0,0.01,0.029728995764981777,False
18,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.03650127 0.02969218],[0.04984684 0.03642639 0.0282884 ],[0.03897113 0.03513229 0.01188419],[0.84160066 0.0764997  0.9897393 ],10.0,0.01,0.029728995764981777,False
19,[0.61011829 0.12516428 0.1894773 ],0.03,[0.02111876 0.05       0.00238832],[0.02248485 0.04935454 0.00361994],[0.03076341 0.04002333 0.01344631],[-0.9627081  0.9225371 -0.9101285],10.0,0.01,0.029728995764981777,False
20,[0.61011829 0.12516428 0.1894773 ],0.03,[0.04799885 0.03420239 0.        ],[0.0467856  0.03492292 0.00017214],[0.03308593 0.03833061 0.00326993],[ 0.89600325 -0.52658695 -0.43920076],10.0,0.01,0.029728995764981777,False
21,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.03651408 0.02969242],[0.04984715 0.03643841 0.02828866],[0.03896893 0.03513705 0.01188262],[0.84155226 0.07705617 0.9897475 ],10.0,0.01,0.029728995764981777,False
22,[0.61011829 0.12516428 0.1894773 ],0.03,[0.02111659 0.05       0.0023842 ],[0.0224828  0.04935511 0.00361602],[0.03075804 0.04002989 0.01344265],[-0.96278024  0.92260253 -0.91027415],10.0,0.01,0.029728995764981777,False
23,[0.61011829 0.12516428 0.1894773 ],0.03,[0.0479966  0.03420374 0.        ],[0.04678335 0.03492422 0.00017195],[0.03308193 0.03833358 0.00326753],[ 0.89600015 -0.52654207 -0.43945986],10.0,0.01,0.029728995764981777,False
24,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.03650962 0.02969234],[0.04984704 0.03643423 0.02828857],[0.03896755 0.03513505 0.0118822 ],[0.84156907 0.07686281 0.98974466],10.0,0.01,0.029728995764981777,False
25,[0.61011829 0.12516428 0.1894773 ],0.03,[0.02111734 0.05       0.00238563],[0.02248351 0.04935491 0.00361738],[0.03075838 0.04002729 0.01344347],[-0.9627552   0.92257977 -0.9102236 ],10.0,0.01,0.029728995764981777,False
26,[0.61011829 0.12516428 0.1894773 ],0.03,[0.04799738 0.03420327 0.        ],[0.04678413 0.03492377 0.00017202],[0.03308269 0.03833235 0.0032683 ],[ 0.8960012 -0.5265577 -0.4393698],10.0,0.01,0.029728995764981777,False
27,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.03651117 0.02969237],[0.04984708 0.03643569 0.0282886 ],[0.03896804 0.03513568 0.01188237],[0.8415632  0.07693005 0.9897456 ],10.0,0.01,0.029728995764981777,False
28,[0.61011829 0.12516428 0.1894773 ],0.03,[0.02111708 0.05       0.00238513],[0.02248327 0.04935498 0.00361691],[0.03075849 0.04002823 0.01344327],[-0.9627639   0.92258763 -0.9102412 ],10.0,0.01,0.029728995764981777,False
29,[0.61011829 0.12516428 0.1894773 ],0.03,[0.04799711 0.03420343 0.        ],[0.04678386 0.03492392 0.00017199],[0.03308264 0.03833285 0.00326808],[ 0.89600086 -0.5265523  -0.43940145],10.0,0.01,0.029728995764981777,False
30,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.03651062 0.02969236],[0.04984706 0.03643517 0.02828859],[0.038968   0.03513551 0.01188237],[0.8415654  0.07690632 0.9897454 ],10.0,0.01,0.029728995764981777,False
31,[0.61011829 0.12516428 0.1894773 ],0.03,[0.02111717 0.05       0.00238531],[0.02248335 0.04935496 0.00361708],[0.03075851 0.04002792 0.01344335],[-0.96276087  0.922585   -0.910235  ],10.0,0.01,0.029728995764981777,False
32,[0.61011829 0.12516428 0.1894773 ],0.03,[0.04799721 0.03420338 0.        ],[0.04678396 0.03492388 0.000172  ],[0.03308267 0.03833267 0.00326815],[ 0.8960011  -0.52655405 -0.43939042],10.0,0.01,0.029728995764981777,False
33,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.03651082 0.02969236],[0.04984707 0.03643536 0.02828859],[0.038968   0.03513556 0.01188236],[0.84156466 0.07691467 0.9897454 ],10.0,0.01,0.029728995764981777,False
34,[0.61011829 0.12516428 0.1894773 ],0.03,[0.02111714 0.05       0.00238525],[0.02248332 0.04935497 0.00361701],[0.03075848 0.04002802 0.01344331],[-0.96276194  0.92258584 -0.9102372 ],10.0,0.01,0.029728995764981777,False
35,[0.61011829 0.12516428 0.1894773 ],0.03,[0.04799717 0.0342034  0.        ],[0.04678392 0.03492389 0.000172  ],[0.03308264 0.03833273 0.00326812],[ 0.896001   -0.5265534  -0.43939412],10.0,0.01,0.029728995764981777,False
36,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.03651075 0.02969236],[0.04984707 0.03643529 0.02828859],[0.03896799 0.03513555 0.01188236],[0.8415649  0.07691181 0.9897454 ],10.0,0.01,0.029728995764981777,False
37,[0.61011829 0.12516428 0.1894773 ],0.03,[0.02111716 0.05       0.00238527],[0.02248333 0.04935496 0.00361704],[0.03075849 0.04002799 0.01344332],[-0.9627615  0.9225855 -0.9102364],10.0,0.01,0.029728995764981777,False
38,[0.61011829 0.12516428 0.1894773 ],0.03,[0.04799719 0.03420339 0.        ],[0.04678394 0.03492388 0.000172  ],[0.03308266 0.03833271 0.00326813],[ 0.896001   -0.5265537  -0.43939245],10.0,0.01,0.029728995764981777,False
39,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.03651078 0.02969236],[0.04984707 0.03643532 0.02828859],[0.038968   0.03513555 0.01188236],[0.84156466 0.076913   0.9897454 ],10.0,0.01,0.029728995764981777,False
40,[0.61011829 0.12516428 0.1894773 ],0.03,[0.02111715 0.05       0.00238526],[0.02248333 0.04935497 0.00361703],[0.03075849 0.040028   0.01344332],[-0.9627617  0.9225857 -0.9102367],10.0,0.01,0.029728995764981777,False
41,[0.61011829 0.12516428 0.1894773 ],0.03,[0.04799718 0.03420339 0.        ],[0.04678393 0.03492388 0.000172  ],[0.03308265 0.03833272 0.00326812],[ 0.896001   -0.5265537  -0.43939346],10.0,0.01,0.029728995764981777,False
42,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05       0.03651076 0.02969236],[0.04984707 0.0364353  0.02828859],[0.038968   0.03513555 0.01188236],[0.8415649  0.07691252 0.9897454 ],10.0,0.01,0.029728995764981777,False
43,[0.61011829 0.12516428 0.1894773 ],0.03,[0.02111715 0.05       0.00238526],[0.02248333 0.04935496 0.00361703],[0.03075849 0.04002799 0.01344332],[-0.96276164  0.9225856  -0.9102366 ],10.0,0.01,0.029728995764981777,False
