,origin,output_max,desired_pos_step_I,desired_pos_ctrl_I,ee_position_I,raw_action,substeps,timestep,goal_noise,is_success
0,[0.61011829 0.12516428 0.1894773 ],0.03,[0.02612411 0.02952649 0.        ],[0.02488184 0.02812243 0.        ],[ 0.00845515  0.01246785 -0.00025908],[ 0.8708036   0.98421645 -0.9978332 ],10.0,0.01,0.0036835067276743683,False
1,[0.61011829 0.12516428 0.1894773 ],0.03,[0.02460437 0.01430668 0.        ],[0.02461757 0.01496365 0.        ],[ 0.0149323   0.01714073 -0.00180411],[-0.05065775 -0.5073272  -0.78345895],10.0,0.01,0.0036835067276743683,False
2,[0.61011829 0.12516428 0.1894773 ],0.03,[0.04643875 0.04410504 0.        ],[0.04540109 0.04271929 0.        ],[ 0.02636912  0.02777526 -0.0013478 ],[ 0.7278124   0.99327874 -0.9996726 ],10.0,0.01,0.0036835067276743683,False
3,[0.61011829 0.12516428 0.1894773 ],0.03,[0.04581991 0.02809166 0.        ],[0.0458     0.02878724 0.        ],[ 0.03450642  0.0304461  -0.00184875],[-0.02062774 -0.5337795  -0.7475722 ],10.0,0.01,0.0036835067276743683,False
4,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[0.04980028 0.04899128 0.        ],[ 0.04021779  0.03746808 -0.00090551],[ 0.7331381  0.9934206 -0.9996745],10.0,0.01,0.0036835067276743683,False
5,[0.61011829 0.12516428 0.1894773 ],0.03,[0.04935789 0.03397634 0.        ],[0.04937892 0.03469033 0.        ],[ 0.04280849  0.03763255 -0.00066785],[-0.02140379 -0.53412217 -0.748028  ],10.0,0.01,0.0036835067276743683,False
6,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[0.04997047 0.04927199 0.        ],[ 0.04395492  0.04096725 -0.00048726],[ 0.73294246  0.99341464 -0.9996744 ],10.0,0.01,0.0036835067276743683,False
7,[0.61011829 0.12516428 0.1894773 ],0.03,[0.04935872 0.03397678 0.        ],[0.04938781 0.0347041  0.        ],[ 0.04378943  0.03831037 -0.00064385],[-0.02137595 -0.5341075  -0.748013  ],10.0,0.01,0.0036835067276743683,False
8,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[0.04997089 0.04927264 0.        ],[ 0.04363592  0.04058708 -0.00067904],[ 0.7329495  0.9934149 -0.9996744],10.0,0.01,0.0036835067276743683,False
9,[0.61011829 0.12516428 0.1894773 ],0.03,[0.0493587  0.03397676 0.        ],[0.04938781 0.03470411 0.        ],[ 0.04307662  0.03788636 -0.00088764],[-0.02137679 -0.53410816 -0.74801344],10.0,0.01,0.0036835067276743683,False
10,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[0.04997089 0.04927264 0.        ],[ 0.04303764  0.04039767 -0.0008544 ],[ 0.7329494  0.9934149 -0.9996744],10.0,0.01,0.0036835067276743683,False
11,[0.61011829 0.12516428 0.1894773 ],0.03,[0.0493587  0.03397676 0.        ],[0.04938781 0.03470411 0.        ],[ 0.04277455  0.03785995 -0.00096363],[-0.02137673 -0.53410816 -0.74801344],10.0,0.01,0.0036835067276743683,False
12,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[0.04997089 0.04927264 0.        ],[ 0.04298452  0.04041589 -0.00085312],[ 0.73294926  0.9934149  -0.9996744 ],10.0,0.01,0.0036835067276743683,False
13,[0.61011829 0.12516428 0.1894773 ],0.03,[0.04935869 0.03397675 0.        ],[0.0493878  0.03470411 0.        ],[ 0.04284383  0.03788348 -0.00092913],[-0.02137691 -0.5341083  -0.74801344],10.0,0.01,0.0036835067276743683,False
14,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[0.04997089 0.04927264 0.        ],[ 0.04307302  0.04043637 -0.00082067],[ 0.73294926  0.9934149  -0.9996744 ],10.0,0.01,0.0036835067276743683,False
15,[0.61011829 0.12516428 0.1894773 ],0.03,[0.04935869 0.03397675 0.        ],[0.0493878  0.03470411 0.        ],[ 0.04290241  0.03789816 -0.00091063],[-0.02137691 -0.5341083  -0.74801344],10.0,0.01,0.0036835067276743683,False
16,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[0.04997089 0.04927264 0.        ],[ 0.04309563  0.04044391 -0.000816  ],[ 0.73294926  0.9934149  -0.9996744 ],10.0,0.01,0.0036835067276743683,False
17,[0.61011829 0.12516428 0.1894773 ],0.03,[0.04935869 0.03397675 0.        ],[0.0493878  0.03470411 0.        ],[ 0.04290171  0.0378985  -0.00091291],[-0.02137691 -0.5341083  -0.74801344],10.0,0.01,0.0036835067276743683,False
18,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[0.04997089 0.04927264 0.        ],[ 0.04308607  0.04044086 -0.00082007],[ 0.73294926  0.9934149  -0.9996744 ],10.0,0.01,0.0036835067276743683,False
19,[0.61011829 0.12516428 0.1894773 ],0.03,[0.04935869 0.03397675 0.        ],[0.0493878  0.03470411 0.        ],[ 0.04289255  0.03789537 -0.00091606],[-0.02137691 -0.5341083  -0.74801344],10.0,0.01,0.0036835067276743683,False
20,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[0.04997089 0.04927264 0.        ],[ 0.04308076  0.04043906 -0.00082153],[ 0.73294926  0.9934149  -0.9996744 ],10.0,0.01,0.0036835067276743683,False
21,[0.61011829 0.12516428 0.1894773 ],0.03,[0.04935869 0.03397675 0.        ],[0.0493878  0.03470411 0.        ],[ 0.04289093  0.03789495 -0.00091631],[-0.02137691 -0.5341083  -0.74801344],10.0,0.01,0.0036835067276743683,False
22,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[0.04997089 0.04927264 0.        ],[ 0.04308128  0.04043931 -0.00082119],[ 0.73294926  0.9934149  -0.9996744 ],10.0,0.01,0.0036835067276743683,False
23,[0.61011829 0.12516428 0.1894773 ],0.03,[0.04935869 0.03397675 0.        ],[0.0493878  0.03470411 0.        ],[ 0.0428921   0.03789535 -0.00091587],[-0.02137691 -0.5341083  -0.74801344],10.0,0.01,0.0036835067276743683,False
24,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[0.04997089 0.04927264 0.        ],[ 0.04308223  0.0404396  -0.00082089],[ 0.73294926  0.9934149  -0.9996744 ],10.0,0.01,0.0036835067276743683,False
25,[0.61011829 0.12516428 0.1894773 ],0.03,[0.04935869 0.03397675 0.        ],[0.0493878  0.03470411 0.        ],[ 0.04289258  0.03789547 -0.00091575],[-0.02137691 -0.5341083  -0.74801344],10.0,0.01,0.0036835067276743683,False
26,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[0.04997089 0.04927264 0.        ],[ 0.04308233  0.04043961 -0.00082089],[ 0.73294926  0.9934149  -0.9996744 ],10.0,0.01,0.0036835067276743683,False
