,origin,output_max,desired_pos_step_I,desired_pos_ctrl_I,ee_position_I,raw_action,substeps,timestep,goal_noise,is_success
0,[0.61011829 0.12516428 0.1894773 ],0.03,[0.01452117 0.02914432 0.        ],[0.01383065 0.02775843 0.        ],[ 4.48067777e-03  1.26346237e-02 -4.97077064e-05],[ 0.48403895  0.97147727 -0.99926674],10.0,0.01,0.023181513697481032,False
1,[0.61011829 0.12516428 0.1894773 ],0.03,[0.00794826 0.01380945 0.        ],[0.00822799 0.01447275 0.        ],[ 0.0057928   0.01771362 -0.00082738],[-0.21909684 -0.5111624  -0.88268906],10.0,0.01,0.023181513697481032,False
2,[0.61011829 0.12516428 0.1894773 ],0.03,[0.01324848 0.04279548 0.        ],[0.01300974 0.04144867 0.        ],[ 0.0081052   0.02858733 -0.00022004],[ 0.17667389  0.9662013  -0.9993941 ],10.0,0.01,0.023181513697481032,False
3,[0.61011829 0.12516428 0.1894773 ],0.03,[0.00745878 0.02973705 0.        ],[0.00772274 0.03029397 0.        ],[ 0.00763805  0.03274485 -0.00020636],[-0.19299012 -0.43528104 -0.8614109 ],10.0,0.01,0.023181513697481032,False
4,[0.61011829 0.12516428 0.1894773 ],0.03,[0.01419838 0.05       0.        ],[0.01389045 0.04906293 0.        ],[9.24637737e-03 3.98514076e-02 2.66081567e-06],[ 0.2246536  0.9715464 -0.9994798],10.0,0.01,0.023181513697481032,False
5,[0.61011829 0.12516428 0.1894773 ],0.03,[0.00833621 0.03598536 0.        ],[0.00860033 0.03660724 0.        ],[ 0.00850825  0.04008873 -0.00035951],[-0.19540584 -0.4671545  -0.8596276 ],10.0,0.01,0.023181513697481032,False
6,[0.61011829 0.12516428 0.1894773 ],0.03,[0.01466696 0.05       0.        ],[0.01437848 0.04936314 0.        ],[ 0.00989381  0.04283548 -0.00012872],[ 0.211025    0.9703289  -0.99946237],10.0,0.01,0.023181513697481032,False
7,[0.61011829 0.12516428 0.1894773 ],0.03,[0.0088292  0.03621694 0.        ],[0.00909308 0.03684207 0.        ],[ 0.00910255  0.04046377 -0.00039342],[-0.194592   -0.45943546 -0.8598768 ],10.0,0.01,0.023181513697481032,False
8,[0.61011829 0.12516428 0.1894773 ],0.03,[0.01529462 0.05       0.        ],[0.01499973 0.04937431 0.        ],[ 0.01039234  0.04251951 -0.00012554],[ 0.21551418  0.9707581  -0.99946845],10.0,0.01,0.023181513697481032,False
9,[0.61011829 0.12516428 0.1894773 ],0.03,[0.00945065 0.03613927 0.        ],[0.00971452 0.03676863 0.        ],[ 0.00951986  0.04021738 -0.00042709],[-0.19479918 -0.4620242  -0.8598213 ],10.0,0.01,0.023181513697481032,False
