,origin,output_max,desired_pos_step_I,desired_pos_ctrl_I,ee_position_I,raw_action,substeps,timestep,goal_noise,is_success
0,[0.61011829 0.12516428 0.1894773 ],0.03,[0.02640247 0.02953954 0.        ],[0.02514697 0.02813486 0.        ],[ 0.00855027  0.01246555 -0.00026403],[ 0.8800825  0.9846513 -0.9979604],10.0,0.01,0.006728655279101755,False
1,[0.61011829 0.12516428 0.1894773 ],0.03,[0.02414441 0.01493404 0.        ],[0.02419209 0.01556177 0.        ],[ 0.01484     0.01743789 -0.00180631],[-0.07526863 -0.48685014 -0.80872995],10.0,0.01,0.006728655279101755,False
2,[0.61011829 0.12516428 0.1894773 ],0.03,[0.04556425 0.04472568 0.        ],[0.04454795 0.04333887 0.        ],[ 0.02594083  0.02837246 -0.00129653],[ 0.7139945  0.993055  -0.9996837],10.0,0.01,0.006728655279101755,False
3,[0.61011829 0.12516428 0.1894773 ],0.03,[0.04433454 0.02925851 0.        ],[0.04434469 0.02992807 0.        ],[ 0.03363546  0.03139561 -0.00177799],[-0.04099017 -0.5155724  -0.7745527 ],10.0,0.01,0.006728655279101755,False
4,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[0.04973108 0.04904553 0.        ],[ 0.03958992  0.03806637 -0.0008866 ],[ 0.7168641   0.99316335 -0.9996868 ],10.0,0.01,0.006728655279101755,False
5,[0.61011829 0.12516428 0.1894773 ],0.03,[0.04875857 0.03452411 0.        ],[0.04880481 0.03521464 0.        ],[ 0.04229793  0.03797727 -0.00073436],[-0.04138106 -0.5158629  -0.7747116 ],10.0,0.01,0.006728655279101755,False
6,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[0.04994317 0.04929692 0.        ],[ 0.0436551   0.04112092 -0.00049622],[ 0.71679807  0.99316096 -0.9996867 ],10.0,0.01,0.006728655279101755,False
7,[0.61011829 0.12516428 0.1894773 ],0.03,[0.04875884 0.0345243  0.        ],[0.04881516 0.03522677 0.        ],[ 0.04345536  0.03858001 -0.00064843],[-0.04137206 -0.5158567  -0.7747076 ],10.0,0.01,0.006728655279101755,False
8,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[0.04994366 0.0492975  0.        ],[ 0.04342049  0.04081898 -0.00065929],[ 0.7167996   0.99316096 -0.9996867 ],10.0,0.01,0.006728655279101755,False
9,[0.61011829 0.12516428 0.1894773 ],0.03,[0.04875883 0.0345243  0.        ],[0.04881517 0.0352268  0.        ],[ 0.04277649  0.03821715 -0.00088808],[-0.04137224 -0.5158566  -0.77470785],10.0,0.01,0.006728655279101755,False
10,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[0.04994366 0.0492975  0.        ],[ 0.04282967  0.04063749 -0.00083659],[ 0.7167995   0.99316096 -0.9996867 ],10.0,0.01,0.006728655279101755,False
11,[0.61011829 0.12516428 0.1894773 ],0.03,[0.04875883 0.0345243  0.        ],[0.04881518 0.0352268  0.        ],[ 0.04246804  0.03817552 -0.00096767],[-0.04137218 -0.5158567  -0.7747078 ],10.0,0.01,0.006728655279101755,False
12,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[0.04994366 0.0492975  0.        ],[ 0.04276506  0.04064455 -0.00083873],[ 0.7167995   0.99316096 -0.9996867 ],10.0,0.01,0.006728655279101755,False
13,[0.61011829 0.12516428 0.1894773 ],0.03,[0.04875883 0.0345243  0.        ],[0.04881518 0.0352268  0.        ],[ 0.04252799  0.03819645 -0.00093593],[-0.04137218 -0.5158567  -0.7747078 ],10.0,0.01,0.006728655279101755,False
14,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[0.04994366 0.0492975  0.        ],[ 0.04284915  0.04066589 -0.0008075 ],[ 0.7167995   0.99316096 -0.9996867 ],10.0,0.01,0.006728655279101755,False
15,[0.61011829 0.12516428 0.1894773 ],0.03,[0.04875883 0.0345243  0.        ],[0.04881518 0.0352268  0.        ],[ 0.04258619  0.03821203 -0.00091733],[-0.04137218 -0.5158567  -0.7747078 ],10.0,0.01,0.006728655279101755,False
16,[0.61011829 0.12516428 0.1894773 ],0.03,[0.05 0.05 0.  ],[0.04994366 0.0492975  0.        ],[ 0.04287324  0.04067373 -0.00080223],[ 0.7167995   0.99316096 -0.9996867 ],10.0,0.01,0.006728655279101755,False
